ID,start_date,start_time,mode,eval_id,fold,level,epochs,net,sampler,outfile,hostname,remark,Job_ID,Cluster,User/Group,State,Nodes,Cores_per_node,CPU_Utilized,CPU_Efficiency,Job_Wall-clock_time,Memory_Utilized,Memory_Efficiency,WARNING,end_date,end_time,elapsed_time,valid_loss,valid_mae,valid_mae_end5,train_loss,train_mae,train_mae_end5,amp,RandomVerticalFlip,RandomHorizontalFlip,RandomRotation,image_size,RandGaussianNoise,patients_per_level,data_shuffle,data_shuffle_seed,train_nb,valid_nb,train_index_head,valid_index_head,normalize_data,batch_size,loader_workers,loss_fun,lr,gpuname,gpu_mem_usage,gpu_util,valid_metrics_min,r_c,nb_test,test_loss,test_mae,test_mae_end5,test_nb,pretrained,data_dir,label_file,cls,vgg_init,loss,train_level_nb,valid_level_nb,test_level_nb,fc2_nodes,ts_level_nb,total_folds,Usage,_______-d____Debug_mode,weight_decay,fc1_nodes,tr_pat_nb,vd_pat_nb,ts_pat_nb,metrics_min,masked_by_lung
1,2021-03-12,19:49:26,train,,4,0,600,vgg19,1,slurmlogs/slurm-75621_0,node860,sampler True,75621.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-09:38:40,37.10% of 3-18:40:30 core-walltime,15:06:45,75.28 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-03-13,11:09:09,15:19:43,2.78,0.91,0.39,3.56,1.42,0.83,True,0.5,0.5,20,512,0.1,681.0,True,42,2724.0,681.0,0_2_3_5_6_7_8_9_10_12_13_14_15_17_18_20_22_23_24_25_,1_4_11_16_19_21_34_35_36_38_46_50_64_75_89_90_95_98_103_114_,True,10,8,MSE,0.0001,GeForce RTX 2080 Ti,6526.0/11019.44 MB,22.6%,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-03-12,19:49:59,train,,3,0,600,vgg19,1,slurmlogs/slurm-75622_0,node860,sampler True,75622.0,alice,jjia/afd_b,CANCELLED (exit code 0),1.0,6.0,00:00:00,0.00% of 00:01:54 core-walltime,00:00:19,1.38 MB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-03-13,00:20:22,4:30:23,3.01,0.9,0.34,0.91,0.65,0.14,True,0.5,0.5,20,512,0.1,681.0,True,42,2724.0,681.0,0_2_3_5_6_7_8_9_10_12_13_14_15_17_18_20_22_23_24_25_,1_4_11_16_19_21_34_35_36_38_46_50_64_75_89_90_95_98_103_114_,True,10,8,MSE,0.0001,GeForce RTX 2080 Ti,8886.0/11019.44 MB,90.4%,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-03-12,19:50:35,train,,3,0,600,vgg19,1,slurmlogs/slurm-75623_0,node860,sampler True,75623.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-09:57:53,36.86% of 3-20:08:48 core-walltime,15:21:28,75.27 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-03-13,11:11:52,15:21:17,6.81,0.96,0.42,3.5,1.39,0.76,True,0.5,0.5,20,512,0.1,681.0,True,42,2724.0,681.0,0_1_3_4_5_7_9_10_11_12_14_15_16_17_18_19_21_22_24_25_,2_6_8_13_20_23_37_39_53_61_65_71_78_83_85_86_91_99_105_113_,True,10,8,MSE,0.0001,GeForce RTX 2080 Ti,6526.0/11019.44 MB,45.6%,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-03-12,19:54:54,train,,5,0,600,vgg19,1,slurmlogs/slurm-75625_0,node859,sampler True,75625.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-09:30:31,36.30% of 3-20:17:54 core-walltime,15:22:59,75.27 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-03-13,11:15:46,15:20:52,2.3,0.92,0.35,3.57,1.44,0.86,True,0.5,0.5,20,512,0.1,681.0,True,42,2724.0,681.0,0_2_3_5_6_7_8_9_10_12_13_14_15_17_18_20_22_23_24_25_,1_4_11_16_19_21_34_35_36_38_46_50_64_75_89_90_95_98_103_114_,True,10,8,MSE,0.0001,GeForce RTX 2080 Ti,6526.0/11019.44 MB,25.0%,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-03-12,19:55:03,train,,4,0,600,vgg19,1,slurmlogs/slurm-75624_0,node859,sampler True,75624.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-10:03:33,36.36% of 3-21:40:30 core-walltime,15:36:45,75.27 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-03-13,11:28:12,15:33:09,2.29,0.89,0.29,3.59,1.41,0.81,True,0.5,0.5,20,512,0.1,681.0,True,42,2724.0,681.0,0_1_2_4_6_7_8_11_12_13_14_16_17_18_19_20_21_22_23_25_,3_5_9_10_15_24_27_28_40_42_47_54_55_60_62_66_68_74_77_79_,True,10,8,MSE,0.0001,GeForce RTX 2080 Ti,6526.0/11019.44 MB,26.2%,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2021-03-15,19:58:10,train,,5,0,600,vgg19,1,slurmlogs/slurm-75943_0,node856,sampler True,75943.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,00:00:06,5.56% of 00:01:48 core-walltime,00:00:18,1.38 MB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2021-03-15,20:07:10,train,,5,0,600,vgg19,1,slurmlogs/slurm-75947_0,node856,sampler True,75947.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,00:00:05,16.67% of 00:00:30 core-walltime,00:00:05,1.38 MB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2021-03-15,20:12:42,train,,5,0,600,vgg19,1,slurmlogs/slurm-75950_0,node856,sampler True,75950.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,00:00:05,11.90% of 00:00:42 core-walltime,00:00:07,1.38 MB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2021-03-15,20:14:22,train,,5,0,600,vgg19,1,slurmlogs/slurm-75952_0,node856,sampler True,75952.0,alice,jjia/afd_b,CANCELLED (exit code 0),1.0,6.0,03:47:09,16.62% of 22:47:06 core-walltime,03:47:51,75.10 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
