,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,Total,Acc,MAE,Weighted_kappa,ave_mae,std_mae,mean,std,icc
0,24.0,3.0,,,,1.0,,,,,,,,,,,,,,,,28.0,0.8571428571428571,1.4285714285714286,0.3310230525839988,6.9375,8.459231274176158,-3.4375,10.386100988821552,0.47
5,11.0,5.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,20.0,0.25,5.5,,,,,,
10,5.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,8.0,0.125,8.125,,,,,,
15,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,5.0,0.2,6.0,,,,,,
20,3.0,2.0,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,11.0,0.0,13.181818181818182,,,,,,
25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,3.0,0.0,20.0,,,,,,
30,,,,,1.0,,1.0,,,,,,,,,,,,,,,2.0,0.5,5.0,,,,,,
35,,,,1.0,,,,,,,,,,,,,,,,,,1.0,0.0,20.0,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,0.0,37.5,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
