,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,Total,Acc,MAE,Weighted_kappa,ave_mae,std_mae,mean,std,icc
0,19.0,4.0,,,,1.0,,,,,,,,,,,,,,,,24.0,0.7916666666666666,1.875,0.6022727272727273,4.8125,6.346443393744248,-2.6875,7.497655883674577,0.83
5,15.0,6.0,1.0,,1.0,,,,,,,,,,,,,,,,,23.0,0.2608695652173913,4.130434782608695,,,,,,
10,6.0,5.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,18.0,0.2222222222222222,5.833333333333333,,,,,,
15,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,3.0,0.3333333333333333,5.0,,,,,,
20,,,,,2.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,
25,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,3.0,0.0,18.333333333333332,,,,,,
30,,,,,,,2.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,1.0,,,,,,,,,,,,,1.0,0.0,5.0,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,2.0,,,,,,,,,,,2.0,0.0,5.0,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,1.0,,,,,,,,,,,,,1.0,0.0,25.0,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,1.0,,,,,,,,,,,,1.0,0.0,30.0,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
