ID,start_date,start_time,mode,eval_id,net,fc2_nodes,fc1_nodes,fc_m1,r_c,total_folds,fold,level,sampler,ts_level_nb,masked_by_lung,z_size,y_size,x_size,loss,pretrained,epochs,weight_decay,batch_size,infer_stride,outfile,hostname,remark,Job_ID,Cluster,User/Group,State,Nodes,Cores_per_node,CPU_Utilized,CPU_Efficiency,Job_Wall-clock_time,Memory_Utilized,Memory_Efficiency,WARNING,end_date,end_time,elapsed_time,train_loss,train_mae,valid_loss,valid_mae,test_loss,test_mae,amp,net_parameters,data_shuffle,data_shuffle_seed,data_dir,label_file,tr_pat_nb,vd_pat_nb,ts_pat_nb,loader_workers,lr,gpuname,gpu_mem_usage,gpu_util,ave_Acc_L1_pos,ave_MAE_L1_pos,ave_WKappa_L1_pos,ave_Acc_L2_pos,ave_MAE_L2_pos,ave_WKappa_L2_pos,ave_Acc_L3_pos,ave_MAE_L3_pos,ave_WKappa_L3_pos,ave_Acc_L4_pos,ave_MAE_L4_pos,ave_WKappa_L4_pos,ave_Acc_L5_pos,ave_MAE_L5_pos,ave_WKappa_L5_pos,ave_Acc_all,ave_MAE_all,ave_WKappa_all,metrics_min,ave_Acc_L1,ave_MAE_L1,ave_WKappa_L1,ave_Acc_L2,ave_MAE_L2,ave_WKappa_L2,ave_Acc_L3,ave_MAE_L3,ave_WKappa_L3,ave_Acc_L4,ave_MAE_L4,ave_WKappa_L4,ave_Acc_L5,ave_MAE_L5,ave_WKappa_L5,train_L1,train_L2,train_L3,train_L4,train_L5,valid_L1,valid_L2,valid_L3,valid_L4,valid_L5,test_L1,test_L2,test_L3,test_L4,test_L5,icc_train_L1,icc_train_L2,icc_train_L3,icc_train_L4,icc_train_L5,icc_valid_L1,icc_valid_L2,icc_valid_L3,icc_valid_L4,icc_valid_L5,icc_test_L1,icc_test_L2,icc_test_L3,icc_test_L4,icc_test_L5,valid_ave_Acc_L1,valid_ave_MAE_L1,valid_WKappa_L1,valid_ave_Acc_L2,valid_ave_MAE_L2,valid_WKappa_L2,valid_ave_Acc_L3,valid_ave_MAE_L3,valid_WKappa_L3,valid_ave_Acc_L4,valid_ave_MAE_L4,valid_WKappa_L4,valid_ave_Acc_L5,valid_ave_MAE_L5,valid_WKappa_L5,valid_ave_Acc_all,valid_ave_MAE_all,valid_WKappa_all,resample_z,icc_validaug_L1,icc_validaug_L2,icc_validaug_L3,icc_validaug_L4,icc_validaug_L5,fine_level,fine_window,InsNorm,workers,if_test,valid_period,upper_value,lower_value,validaug_loss,validaug_mae,t_load_data,t_to_device,t_train_per_step,in_level,train_on_level,level_node,kd_net,infer_2nd,icc_alltrain_combined,icc_allvalid_combined,icc_alltest_combined
1,2021-04-14,21:07:09,train,0,conv3fc1,1024,1024,512,r,4,4,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,8,slurmlogs/slurm-81790_1,node855,first try pos prediction,81790.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,12.0,2-13:58:38,61.93% of 4-04:04:24 core-walltime,08:20:22,287.04 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-07-06,02:18:05,"82 days, 5:10:56",5.37,1.81,36.9,4.65,32.48,4.35,True,28.84,True,49.0,dataset/LowResolution_fix_size,dataset/SSc_DeepLearning/GohScores.xlsx,135.0,44.0,48.0,5.0,0.0001,GeForce RTX 2080 Ti,0.12/11019.44 MB,0.0%,0.005181347150259,,0.0,0.0,,0.0,0.0,,0.0,0.0,,-2.220446049250313e-16,0.0,,0.0150209308052203,0.005181347150259,,0.0150209308052201,mae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.13,2.9,,,,,,,,,,,
2,2021-04-14,21:07:10,train,0,conv3fc1,1024,1024,512,r,4,3,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,8,slurmlogs/slurm-81790_0,node855,first try pos prediction,81790.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,12.0,2-13:58:38,61.93% of 4-04:04:24 core-walltime,08:20:22,287.04 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-04-15,05:16:12,8:09:02,124.11,8.69,97.89,7.87,63.83,6.26,True,3559573.0,True,49.0,dataset/LowResolution_fix_size,dataset/SSc_DeepLearning/GohScores.xlsx,134.0,45.0,48.0,5.0,0.0001,GeForce RTX 2080 Ti,5984.0/11019.44 MB,1.4%,0.005181347150259,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0122641509433962,0.005181347150259,,0.0122641509433962,mae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-04-14,21:12:40,train,0,conv3fc1,1024,1024,512,r,4,2,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,8,slurmlogs/slurm-81792_1,node858,first try pos prediction,81792.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,12.0,2-12:35:07,62.44% of 4-01:01:48 core-walltime,08:05:09,287.41 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-04-15,05:13:25,8:00:45,132.35,8.97,58.5,5.93,64.08,6.25,True,3559573.0,True,49.0,dataset/LowResolution_fix_size,dataset/SSc_DeepLearning/GohScores.xlsx,134.0,45.0,48.0,5.0,0.0001,GeForce RTX 2080 Ti,5984.0/11019.44 MB,16.8%,0.005181347150259,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0105954335173853,0.005181347150259,,0.0105954335173853,mae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-04-14,21:12:40,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,8,slurmlogs/slurm-81792_0,node858,first try pos prediction,81792.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,12.0,2-12:35:07,62.44% of 4-01:01:48 core-walltime,08:05:09,287.41 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-04-15,05:17:39,8:04:59,138.41,9.31,78.75,6.83,63.58,6.17,True,3559573.0,True,49.0,dataset/LowResolution_fix_size,dataset/SSc_DeepLearning/GohScores.xlsx,134.0,45.0,48.0,5.0,0.0001,GeForce RTX 2080 Ti,5984.0/11019.44 MB,5.0%,0.005181347150259,,-2.220446049250313e-16,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0072550081212777,0.005181347150259,,0.0072550081212775,mae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-04-16,23:54:01,infer,4,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-04-16,23:54:45,infer,4,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-04-17,00:15:17,infer,4,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-04-17,00:44:15,infer,4,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-04-17,13:00:31,infer,4,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-04-17,13:38:27,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,600,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-04-17,19:32:06,train,0,conv3fc1,1024,1024,512,r,4,1,0.0,0,240,0.0,192,256,256,mse,0,2,0.0,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
