ID,start_date,start_time,mode,eval_id,net,fc2_nodes,fc1_nodes,r_c,cls,total_folds,fold,level,sampler,synthesis_data,ts_level_nb,masked_by_lung,loss,pretrained,epochs,weight_decay,outfile,hostname,remark,end_date,end_time,elapsed_time,train_loss,train_mae,train_mae_end5,valid_loss,valid_mae,valid_mae_end5,test_loss,test_mae,test_mae_end5,icc_train_disext,icc_train_gg,icc_train_retp,valid_ave_Acc_disext,valid_ave_MAE_disext,valid_WKappa_disext,valid_ave_Acc_gg,valid_ave_MAE_gg,valid_WKappa_gg,valid_ave_Acc_retp,valid_ave_MAE_retp,valid_WKappa_retp,valid_ave_Acc_all,valid_ave_MAE_all,valid_WKappa_all,icc_valid_disext,icc_valid_gg,icc_valid_retp,icc_test_disext,icc_test_gg,icc_test_retp,metrics_min,Job_ID,Cluster,User/Group,State,Cores,CPU_Utilized,CPU_Efficiency,Job_Wall-clock_time,Memory_Utilized,Memory_Efficiency,Nodes,Cores_per_node,WARNING,amp,net_parameters,data_shuffle,data_shuffle_seed,data_dir,label_file,tr_pat_nb,vd_pat_nb,ts_pat_nb,RandomVerticalFlip,RandomHorizontalFlip,RandomRotation,RandomShift,image_size,RandGaussianNoise,RandScale,batch_size,loader_workers,lr,gpuname,gpu_mem_usage,gpu_util,train_recon,fc_m1,workers,sys,valid_period,icc_validaug_disext,icc_validaug_gg,icc_validaug_retp,validaug_loss,validaug_mae,validaug_mae_end5,valid_ave_maedisext,valid_meandisext,valid_stddisext,valid_iccdisext,valid_ave_maegg,valid_meangg,valid_stdgg,valid_iccgg,valid_ave_maeretp,valid_meanretp,valid_stdretp,valid_iccretp,sys_pro,t_load_data,t_to_device,t_train_per_step,gg_increase,bal_filter,sys_ratio,_ori_weight0,retp_blur,gg_blur,sys_pro_in_0,gen_gg_as_retp,icc_alltrain_combined,icc_allvalid_combined,icc_alltest_combined,infer_2nd,train_on_level,level_node,resample_z,z_size,y_size,x_size,infer_stride,kd_net
706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707.0,2021-04-19,19:58:52,infer,526.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,4.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-19,20:01:03,0:02:11,31.79,4.32,3.98,109.89,6.44,6.13,158.26,7.25,7.02,0.95,0.96,0.94,0.3397981630563869,7.578216562078925,0.8426489184148648,0.3253344847532472,11.859732062879171,0.8591948781181573,0.300364025302476,10.005120422403529,0.8357960982946263,0.3218322243707034,9.814356349120542,0.8458799649425495,0.95,0.96,0.94,0.95,0.96,0.94,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708.0,2021-04-19,20:01:24,infer,527.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,4.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-19,20:03:35,0:02:11,36.14,4.67,4.36,115.73,7.65,7.32,175.62,7.94,7.56,0.93,0.94,0.94,0.1391189238142246,10.117610323960864,0.7666639807019693,0.1191540170666084,11.309599541474508,0.7815089879369557,0.2046960854131364,9.98239117715482,0.8023236464199035,0.1543230087646564,10.469867014196732,0.7834988716862762,0.93,0.94,0.94,0.93,0.94,0.94,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709.0,2021-04-19,20:03:51,infer,525.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,4.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-19,20:06:04,0:02:13,33.36,4.4,4.1,239.61,10.34,10.08,162.35,7.52,7.34,0.93,0.94,0.89,0.2087609526036759,9.913382251852276,0.7854530124975311,0.3146467592804666,8.789169942698063,0.8148985133103331,0.2059417460366507,13.901606749095484,0.7589300787684202,0.2431164859735977,10.868052981215277,0.7864272015254281,0.93,0.94,0.89,0.93,0.94,0.89,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710.0,2021-04-19,20:04:15,infer,528.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,4.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-19,20:04:54,0:00:39,30.46,4.28,4.01,158.29,7.42,7.05,139.37,7.32,6.9,0.94,0.92,0.95,0.2931382248039946,10.189460110133853,0.8187209955508007,0.2563133614261088,14.3724139228458,0.807172842728002,0.2351340628994144,9.946225321004544,0.8212431700270768,0.2615285497098393,11.502699784661395,0.8157123361019599,0.94,0.92,0.95,0.94,0.92,0.95,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711.0,2021-04-19,22:00:17,train,0.0,conv3fc1,1024.0,1024.0,r,disext,4.0,4.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712.0,2021-04-19,22:02:21,train,0.0,vgg11_bn,256.0,256.0,r,disext,4.0,4.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713.0,2021-04-20,00:03:40,train,0.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714.0,2021-04-20,15:45:09,infer,579.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:45:27,0:00:18,11.24,2.44,1.95,106.43,6.56,6.28,108.58,5.86,5.66,0.99,1.0,0.99,0.0842425379250674,15.879734435809173,0.49408681583891,0.11661553510293,11.128501400560223,0.4897496371552975,0.0959570724379086,14.481544893638391,0.4967293824313351,0.0989383818219687,13.829926910002596,0.4935219451418476,0.72,0.68,0.67,0.81,0.67,0.77,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715.0,2021-04-20,15:46:25,infer,580.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:46:43,0:00:18,11.55,2.43,1.95,105.07,5.62,5.32,128.93,6.07,5.85,0.99,0.99,0.99,0.1250062988158226,17.448454034391535,0.6177695101426167,0.1138031035182673,19.211655847460687,0.5693116923106225,0.1021958626062593,12.61632082556615,0.617188686060695,0.113668421646783,16.425476902472788,0.6014232961713114,0.78,0.67,0.8,0.76,0.7,0.77,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716.0,2021-04-20,15:46:41,infer,581.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:46:58,0:00:17,9.4,2.23,1.79,121.19,5.8,5.44,108.87,6.15,5.82,1.0,1.0,1.0,0.0908292503604312,16.437936418586574,0.5676828633857038,0.1264495780514087,21.991905278804595,0.5506910785427663,0.0983124611203428,11.658454756266424,0.5729991663192997,0.1051970965107276,16.696098817885865,0.56379103608259,0.75,0.58,0.8,0.76,0.66,0.78,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717.0,2021-04-20,15:46:55,infer,582.0,vgg11_bn,1024.0,1024.0,r,disext,4.0,3.0,0.0,1.0,0.0,240.0,1.0,mse,1.0,2.0,0.001,,,,2021-04-20,15:47:12,0:00:17,11.06,2.38,1.84,138.21,7.63,7.46,152.94,6.58,6.32,1.0,1.0,1.0,0.0904858809620714,14.3954128660011,0.5876653153234447,0.0921136902598189,17.801736431507425,0.5125607006802388,0.0945536518426544,16.287413297203898,0.5519939823389233,0.0923844076881815,16.161520864904144,0.5507399994475356,0.8,0.68,0.74,0.69,0.53,0.71,mae_end5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
